No.,Article Number,Article Title,Keyword,Client,Campaign Name,Editor,Copywriter,Article Type,Number of Words,Keyword Match in Content,Submit Date,Cost
11,H-129-9343-225838,Stay Close to the Action with Austin's Adventure Hotels,"Adventure Sport Hotel--Austin--TX--US--Best Of",Hipmunk,Austin--TX--US--Best Of,JVanVleetEdit      0,edemeirow[1]      6      0,SHAREBAIT,750,2,2014-07-28 13:42:24,45
12,PD-10-9329-225510,"Luau Banners, Signs, and Posters","http://www.stumpsparty.com/event-supplies/custom-party-banners/luau-banners/49167",PM Digital,Shindigz #3,echilds      21,CCampbellWriter[1]      0      0,COPY,340,2,2014-07-08 10:02:23,10.2
13,H-123-9202-225290,Navigating Phoenix from the Friendly Skies,Phoenix--AZ--US--Flight Destination,Hipmunk,Phoenix--AZ--US--Flight Destination,BJollyEditor      10,lyndsierobinson[1]      0      0,Hipmunk Copy (Tier 3),600,1,2014-07-07 11:15:44,36
14,H-126-9200-225235,"Best Hotel Bars in Anaheim, California",Bar Hotels--Anaheim--CA--US--Best Of,Hipmunk,Anaheim--CA--US--Best Of,ShandaSilerEdit      2,erindesantiago[1]      0      0,Hipmunk Copy (Tier 2),750,3,2014-07-24 09:43:38,90
15,H-124-9193-225118,Budget Hotel Near Disneyland,"Hotel Menage Anaheim Boutique Hotel-id=130178",Hipmunk,Anaheim--CA--US--Top Hotel Properties,BillMcSteenEdit      10,jessicaholscher[1]      0      0,Hipmunk Hotel Properties,400,2,2014-07-03 15:09:32,16
16,H-127-9155-224990,Cheap Accommodations for Family Fun,"Aulani - A Disney Resort &amp; Spa-id=391056",Hipmunk,Kapolei--HI--US--Hotel Properties,JVanVleetEdit      0,shaunabowling[1]      0      0,Hipmunk Copy (Tier 4),404,2,2014-07-04 15:52:29,16.16
17,H-127-9031-224654,"Flying into Waikoloa, Hawaii",Waikoloa--HI--US--Flight Destination,Hipmunk,Waikoloa--HI--US--Flight Destination,rkarraneditor      0,shannonmcinerney[1]      6      0,Hipmunk Copy (Tier 4),50,1,2014-07-01 10:40:47,2
18,H-123-8995-224339,"Best Family Hotels in Kihei, Maui Island, Hawaii",Family Hotels--Kihei--HI--US--Best Of,Hipmunk,Kihei--HI--US--Best Of,CMoritzEditor      0,sabahkarimi[1]      5      0,Hipmunk Copy (Tier 3),400,1,2014-06-26 19:33:57,24
19,H-123-8995-224338,"Best Beach Hotels in Kihei, Hawaii","Beach Hotel--Kihei--HI--US--Best Of",Hipmunk,Kihei--HI--US--Best Of,CMoritzEditor      0,sabahkarimi[1]      5      0,Hipmunk Copy (Tier 3),400,1,2014-06-26 18:46:51,24
20,H-123-8994-224336,Planning the Perfect Hawaiian Getaway? Book a Budget Hotel in Sunny Kihei,Kihei--HI--US--Hotel Destination,Hipmunk,Kihei--HI--US--Hotel Destination,,paulabeaton[1]      0      0,Hipmunk Copy (Tier 3),600,2,2014-06-29 05:34:21,36
21,H-123-8993-224335,"Tropical Charm in Kihei, Maui",Kihei--HI--US--Flight Destination,Hipmunk,Kihei--HI--US--Flight Destination,KZeedickEditor      13,jeanettehummel[1]      0      0,Hipmunk Copy (Tier 3),400,4,2014-06-26 20:33:38,24
22,H-123-8913-223986,"Mix Work With Pleasure in Kailua-Kona, Hawaii",Business Hotels--Kailua-Kona--HI--US--Best Of,Hipmunk,Kailua-Kona--HI--US--Best Of,ShaneHallEdit      10,kelliesandrik[1]      0      0,Hipmunk Copy (Tier 3),400,1,2014-06-25 21:12:31,24
23,H-123-8913-223985,"Beachside Bliss in Kailua Kona, Hawaii",Beach Hotels--Kailua-Kona--HI--US--Best Of,Hipmunk,Kailua-Kona--HI--US--Best Of,ShaneHallEdit      10,kelliesandrik[1]      0      0,Hipmunk Copy (Tier 3),400,1,2014-06-25 21:09:32,24
24,H-123-8913-223984,"Adventure Awaits in Kailua-Kona, Hawaii",Adventure Sport--Kailua-Kona--HI--US--Best Of,Hipmunk,Kailua-Kona--HI--US--Best Of,ShaneHallEdit      10,kelliesandrik[1]      0      0,Hipmunk Copy (Tier 3),400,1,2014-06-25 21:06:52,24
25,H-123-8912-223983,Fly to the Big Island through KOA,Keahole--Kailua-Kona--HI--US--Near Airport-id=504f9e4ebb290e74d0000632,Hipmunk,Kailua-Kona--HI--US--Near Airport,MCaldarelliEdit      0,mandirogier[1]      18      5,Hipmunk Copy (Tier 3),300,1,2014-06-26 15:38:47,18
26,H-123-8910-223981,From the Mainland to the Big Island,Kailua-Kona--HI--US--Flight Destination,Hipmunk,Kailua-Kona--HI--US--Flight Destination,JVanVleetEdit      0,matthewpotter[1]      1      0,Hipmunk Copy (Tier 3),400,2,2014-06-23 17:39:19,24
27,H-124-8909-223980,"Affordable Hotel on the Beach in Kailua-Kona, HI",Outrigger Royal Sea Cliff-id=193890,Hipmunk,Kailua-Kona--HI--US--Hotel Properties,rkarraneditor      0,emilyscott[1]      1      0,Hipmunk Hotel Properties,107,1,2014-06-26 13:34:24,4.28
28,H-124-8909-223978,Affordable Beach Resort,Kona Seaside Hotel-id=125919,Hipmunk,Kailua-Kona--HI--US--Hotel Properties,rkarraneditor      0,emilyscott[1]      1      0,Hipmunk Hotel Properties,252,5,2014-06-26 13:48:14,10.08
29,H-124-8909-223977,"Step Into the Ocean at Kailua-Kona, HI",Four Seasons Resort Hualalai at Historic Ka'upulehu-id=127265,Hipmunk,Kailua-Kona--HI--US--Hotel Properties,rkarraneditor      0,emilyscott[1]      1      0,Hipmunk Hotel Properties,304,2,2014-06-26 14:46:08,12.16
30,H-127-8824-223489,Visiting Hawaii's Cowboy Country,Kamuela--HI--US--Hotel Destination,Hipmunk,Kamuela--HI--US--Hotel Destination,rkarraneditor      0,megantilley[1]      0      0,Hipmunk Copy (Tier 4),200,1,2014-06-18 16:13:12,8
31,H-127-8823-223488,"Cheap Hotels and Local Coffee in Kamuela, HI",Kamuela--HI--US--Flight Destination,Hipmunk,Kamuela--HI--US--Flight Destination,CRodmanEditor      8,alananelson[1]      2      1,Hipmunk Copy (Tier 4),50,1,2014-06-22 22:38:36,2
32,H-124-8822-223483,Rejuvenating Accommodations in the Bluffs,Hapuna Beach Prince Hotel-id=108652,Hipmunk,Kamuela--HI--US--Hotel Properties,DHeuvelEdit      3,shaunabowling[1]      0      0,Hipmunk Hotel Properties,299,2,2014-06-21 11:55:51,11.96
33,H-124-8822-223482,Beachfront Luxury Hotel at a Great Nightly Rate,Mauna Lani Bay Hotel and Bungalows-id=220778,Hipmunk,Kamuela--HI--US--Hotel Properties,jobrian      11,tamilamcdonald[1]      0      0,Hipmunk Hotel Properties,400,1,2014-06-19 06:48:43,16
34,H-127-8773-223322,How to Find Hot Hotel Deals in Koloa,Koloa--HI--US--Hotel Destination,Hipmunk,Koloa--HI--US--Hotel Destination,MeghanPaulEditor      8,alishasmith[1]      0      0,Hipmunk Copy (Tier 4),200,1,2014-06-20 06:59:48,8
35,H-124-8770-223317,Affordable Luxury Hotel on the Beach,Sheraton Kauai Resort-id=105795,Hipmunk,Koloa--HI--US--Hotel Properties,MeghanPaulEditor      8,joaniewang[1]      0      0,Hipmunk Hotel Properties,410,1,2014-06-23 16:04:45,16.4
36,H-123-8749-223193,"Top Pool Hotels in Galveston, Texas",Pool Hotels--Galveston--TX--US--Best Of,Hipmunk,Galveston--TX--US--Best Of,KSandrikEditor      0,sabahkarimi[1]      5      0,Hipmunk Copy (Tier 3),400,1,2014-06-20 20:24:46,24
37,CC-100-8697-222884,Planning a Carlsbad Excursion? 4 Things You Should Know,"Planning a Carlsbad Excursion? # Things You Should Know",Connection Content,"Hipmunk Connections, Phase 1",MCaldarelliEdit      0,kristenmccalla[1]      4      1,Connection ShareBait,500,1,2014-06-23 12:23:53,30
38,H-123-8690-222805,"Magnificent Golf Resorts in Wailea, Maui",Golf Hotels--Wailea--HI--US--Best Of,Hipmunk,Wailea--HI--US--Best Of,KSandrikEditor      0,christinagreen[1]      8      7,Hipmunk Copy (Tier 3),400,1,2014-06-16 10:22:01,24
39,H-123-8690-222804,Spectacular Beach Resorts in Wailea,Beach Hotels--Wailea--HI--US--Best Of,Hipmunk,Wailea--HI--US--Best Of,KSandrikEditor      0,christinagreen[1]      8      7,Hipmunk Copy (Tier 3),400,2,2014-06-16 21:06:22,24
40,H-123-8690-222803,"Adventure Seekers Wanted at These Wailea, Maui Hotels",Adventure Sport Hotels--Wailea--HI--US--Best Of,Hipmunk,Wailea--HI--US--Best Of,KSandrikEditor      0,christinagreen[1]      8      7,Hipmunk Copy (Tier 3),400,2,2014-06-13 12:19:53,24
41,H-123-8687-222796,It’s Always a Wonderful Time to Visit Wailea,Wailea--HI--US--Hotel Destination,Hipmunk,Wailea--HI--US--Hotel Destination,rkarraneditor      0,adamgroff[1]      3      0,Hipmunk Copy (Tier 3),600,2,2014-06-18 15:12:16,36
42,H-123-8686-222795,Touching down in Wailea,Wailea--HI--US--Flight Destination,Hipmunk,Wailea--HI--US--Flight Destination,NHauptmanEdit      16,cthongkham[1]      0      0,Hipmunk Copy (Tier 3),400,1,2014-06-26 02:24:50,24
43,H-124-8684-222787,Lavish Resort on Maui,Hotel Wailea-id=218397,Hipmunk,Wailea--HI--US--Hotel Properties,KSandrikEditor      0,dreenadtaplin[1]      0      0,Hipmunk Hotel Properties,299,1,2014-06-17 00:37:31,11.96
44,H-124-8684-222786,Beachside Comforts at Out-Of-This-World Prices,Wailea Beach Marriott Resort &amp; Spa-id=153179,Hipmunk,Wailea--HI--US--Hotel Properties,KSandrikEditor      0,viveksaxena[1]      0      0,Hipmunk Hotel Properties,301,1,2014-06-19 12:18:45,12.04
45,H-124-8684-222784,Pleasurable Stay at the Fairmont Kea Lani Maui,The Fairmont Kea Lani Maui-id=128275,Hipmunk,Wailea--HI--US--Hotel Properties,rkarraneditor      0,michaeldanielson[1]      0      0,Hipmunk Hotel Properties,395,2,2014-06-18 15:51:01,15.8
46,EH-14-8683-222777,The Truth Behind Trader Joe’s Supply Chain,"The Truth Behind Trader Joe’s Supply Chain",Ethan Hathaway,Case Studies June-Aug '14,ADodgeEditor      0,AWithersPaid[1]      24      1,SHAREBAIT,500,1,2014-06-19 09:33:24,30
47,CC-100-8662-222527,How to Throw the Perfect Summer BBQ,"How to Throw the Perfect Summer BBQ",Connection Content,One Kings Lane June 14,CaitlinEditor      0,melissaschmitz[1]      2      2,Connection ShareBait,675,1,2014-06-09 22:24:59,40.5
48,OT-14-8619-222149,BIG ISLAND,"BIG ISLAND",Orbitz Travel,Orbitz: Hilton,NHauptmanEdit      16,kristenmccalla[1]      4      1,SHAREBAIT,200,3,2014-06-21 20:55:47,12
49,OT-14-8615-222087,"Westin Kauai, Hawaii Hotels","KAUAI",Orbitz Travel,Orbitz Westin,JoyNelsonEditor      18,michaelsarko[1]      8      8,SHAREBAIT,200,2,2014-06-16 04:31:31,12
50,OT-14-8615-222073,"Westin Oahu, HI hotels","OAHU",Orbitz Travel,Orbitz Westin,JoyNelsonEditor      18,kristenmccalla[1]      4      1,SHAREBAIT,200,1,2014-06-14 20:54:47,12
51,OT-14-8615-222070,Westin Maui hotels,"MAUI",Orbitz Travel,Orbitz Westin,JoyNelsonEditor      18,kristenmccalla[1]      4      1,SHAREBAIT,200,1,2014-06-14 15:46:44,12
52,OT-14-8596-221917,"Hyatt Maui, HI Hotels","Hyatt",Orbitz Travel,Orbitz: Hyatt,JoyNelsonEditor      18,gwinston[1]      4      4,SHAREBAIT,200,2,2014-06-07 20:36:34,12
53,OT-14-8536-221641,Marriott,"Marriott",Orbitz Travel,Orbitz Marriot May '14,AWithersEditor      0,sheilaolson[1]      1      0,SHAREBAIT,200,1,2014-06-03 22:44:51,12
54,OT-14-8536-221631,Marriott,"Marriott",Orbitz Travel,Orbitz Marriot May '14,ARadesEditor      0,alliemuelleck[1]      0      0,SHAREBAIT,200,1,2014-06-05 09:59:32,12
55,O-14-8464-221027,Marriott HI,"Marriott HI",Orbitz,Orbitz May '14 Test,CarolineCampbell      33,mattthompson[1]      14      7,SHAREBAIT,200,1,2014-05-20 12:05:20,12
56,H-14-8455-220891,The Picture Perfect Mauna Lani Bay Hotel and Bungalows,"Mauna Lani Bay Hotel and Bungalows",Hipmunk,Hipmunk Hotel Properties May '14 #3,JVandernaaldEdit      8,christclayton[1]      0      0,SHAREBAIT,300,2,2014-05-22 11:53:28,18
57,H-14-8454-220824,Get Pampered in Paradise at Makena Beach and Golf Resort,"Makena Beach and Golf Resort",Hipmunk,Hipmunk Hotel Properties May '14 #2,JRakowskiEditor      22,lyndsierobinson[1]      0      0,SHAREBAIT,300,1,2014-05-18 21:57:33,18
