No.,Article Number,Article Title,Keyword,Client,Campaign Name,Editor,Copywriter,Article Type,Number of Words,Keyword Match in Content,Submit Date,Cost
1,H-124-9837-228911,Hawaiian Beachfront Resort in Kapa’a With Discounted Rates,Kauai Sands Hotel-id=125913,Hipmunk,Kapaa--HI--US--Hotel Properties,KZeedickEditor      13,tamilamcdonald[1]      0      0,Hipmunk Hotel Properties,206,2,2014-08-07 03:45:28,8.24
2,H-124-9837-228909,Cheap Hawaiian Beachfront Hotel in Kapa’a,"Courtyard by Marriott Kauai at Coconut Beach-id=133064",Hipmunk,Kapaa--HI--US--Hotel Properties,KZeedickEditor      13,tamilamcdonald[1]      0      0,Hipmunk Hotel Properties,305,2,2014-08-07 03:30:31,12.2
3,H-14-9720-228482,Kapalua Airport: A Gateway to West Maui,Kapalua Airport--Lahaina--HI--US--Near Airport-id=504f9e4cbb290e74d0000603,Hipmunk,Lahaina--HI--US--Near Airport,CBrittainEditor      8,alishasmith[1]      0      0,SHAREBAIT,500,2,2014-08-04 05:32:39,30
4,H-128-9733-228480,Save Money on Your Visit to Historic Lahaina,Lahaina--HI--US--Hotel Destination,Hipmunk,Lahaina--HI--US--Hotel Destination,CBrittainEditor      8,laurenjuliff[1]      0      0,15 Per Word,1250,1,2014-08-05 07:09:48,187.5
5,H-14-9725-228477,"Swim, Snorkel, and Surf in Maui's Honolua Bay","Honolua Bay--Lahaina--HI--US--Near Landmark",Hipmunk,Lahaina--HI--US--Near Landmark,jobrian      11,lesliefloyd[1]      0      0,SHAREBAIT,400,1,2014-08-03 15:06:40,24
6,H-14-9725-228476,Four Generations of Artists,"Costantino Art Gallery--Lahaina--HI--US--Near Landmark",Hipmunk,Lahaina--HI--US--Near Landmark,CHemmingsEdit      6,elaineheng[1]      5      0,SHAREBAIT,400,2,2014-08-03 19:17:49,24
7,H-14-9725-228475,"Beaches, Sea Turtles, and More","Black Rock--Lahaina--HI--US--Near Landmark",Hipmunk,Lahaina--HI--US--Near Landmark,CHemmingsEdit      6,elaineheng[1]      5      0,SHAREBAIT,400,3,2014-08-04 12:04:03,24
8,H-14-9724-228118,"Fly into Phoenix, Stay in Scottsdale",Scottsdale--AZ--US--Flight Destination,Hipmunk,Scottsdale--AZ--US--Flight Destination,KatGrayEditor      6,christinagreen[1]      8      7,SHAREBAIT,750,1,2014-08-03 18:41:02,45
9,H-14-9625-227750,Finding Discounted Lodging in Honolulu,Honolulu--HI--US--Hotel Destination,Hipmunk,Honolulu--HI--US--Hotel Destination,DHeuvelEdit      3,christinagreen[1]      8      7,SHAREBAIT,2500,7,2014-08-06 16:05:57,150
10,H-126-9601-227635,Less Than Par-Daytona Beach Budget Hotels for Golf Enthusiasts,"Golf Hotels--Daytona Beach--FL--US--Best Of",Hipmunk,Daytona Beach--FL--US--Best Of,JamesMonroeEdit      13,lindamanning[1]      3      0,Hipmunk Copy (Tier 3),400,2,2014-07-27 09:42:36,24
