Campaign Name,Campaign Id,Article Type,Editor Cost,Client Id,Max Word,Company Name,User Name,Cp Cost,Pay By Article,Cp Article Cost,Editor Article Cost,Nofa,Estimate Money,Estimate Total,Assigned Words
Ft. Lauderdale--FL--US--Best Of,8385,13,0.010,350,1000,Hipmunk,Hipmunk,0.060,0,0.000,0.000,2,$120,140,2000
Ft. Lauderdale--FL--US--Near Neighborhood,8411,13,0.010,350,300,Hipmunk,Hipmunk,0.060,0,0.000,0.000,5,$90,105,1500
Ft. Lauderdale--FL--US--Near Landmark,8418,13,0.010,350,300,Hipmunk,Hipmunk,0.060,0,0.000,0.000,5,$90,105,1500
Hipmunk Airlines Test May '14,8431,13,0.010,350,750,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$45,52.5,750
Hipmunk Hotel Properties May '14 #1,8453,13,0.010,350,300,Hipmunk,Hipmunk,0.060,0,0.000,0.000,5,$90,105,1500
Hipmunk Hotel Properties May '14 #2,8454,13,0.010,350,300,Hipmunk,Hipmunk,0.060,0,0.000,0.000,7,$126,147,2100
Hipmunk Hotel Properties May '14 #3,8455,13,0.010,350,300,Hipmunk,Hipmunk,0.060,0,0.000,0.000,10,$180,210,3000
Hotel Properties Ft. Lauderdale May '14,8466,9,0.010,350,300,Hipmunk,Hipmunk,0.030,0,0.000,0.000,17,$153,204,5100
Hotel Properties Baltimore May '14,8467,9,0.010,350,300,Hipmunk,Hipmunk,0.030,0,0.000,0.000,5,$45,60,1500
Ft. Lauderdale--FL--US--Hotel Properties,8486,9,0.010,350,400,Hipmunk,Hipmunk,0.030,0,0.000,0.000,50,$600,800,20000
Tampa--FL--US--Hotel Properties,8497,9,0.010,350,300,Hipmunk,Hipmunk,0.030,0,0.000,0.000,50,$450,600,15000
Phoenix--AZ--US--Hotel--Properties,8498,9,0.010,350,300,Hipmunk,Hipmunk,0.030,0,0.000,0.000,30,$270,360,9000
Baltimore--MD--US--Hotel--Properties,8499,9,0.010,350,300,Hipmunk,Hipmunk,0.030,0,0.000,0.000,30,$270,360,9000
Tampa--FL--US--Near Airport,8506,118,0.010,350,500,Hipmunk,Hipmunk,0.100,0,0.000,0.000,1,$50,55,500
Tampa-FL--US--Near Neighborhood,8507,118,0.010,350,300,Hipmunk,Hipmunk,0.100,0,0.000,0.000,6,$180,198,1800
Tampa--FL--US--Near Landmark,8508,118,0.010,350,400,Hipmunk,Hipmunk,0.100,0,0.000,0.000,6,$240,264,2400
Tampa--FL--US--Flight Destination,8509,118,0.010,350,750,Hipmunk,Hipmunk,0.100,0,0.000,0.000,1,$75,82.5,750
Tampa--FL--US--Hotel Destination,8510,118,0.010,350,1500,Hipmunk,Hipmunk,0.100,0,0.000,0.000,1,$150,165,1500
Tampa--FL--US--Best Of,8511,118,0.010,350,750,Hipmunk,Hipmunk,0.100,0,0.000,0.000,3,$225,247.5,2250
Baltimore--MD--US--Flight Destination,8513,118,0.010,350,600,Hipmunk,Hipmunk,0.100,0,0.000,0.000,1,$60,66,600
Baltimore--MD--US--Hotel Destination,8514,118,0.010,350,1500,Hipmunk,Hipmunk,0.100,0,0.000,0.000,1,$150,165,1500
Baltimore--MD--US--Near Neighborhood,8515,118,0.010,350,200,Hipmunk,Hipmunk,0.100,0,0.000,0.000,3,$60,66,600
Baltimore--MD--US--Near Landmark,8516,118,0.010,350,200,Hipmunk,Hipmunk,0.100,0,0.000,0.000,3,$60,66,600
Baltimore--MD--US--Near Airport,8517,118,0.010,350,300,Hipmunk,Hipmunk,0.100,0,0.000,0.000,1,$30,33,300
Baltimore--MD--US--Best Of,8518,118,0.010,350,400,Hipmunk,Hipmunk,0.100,0,0.000,0.000,3,$120,132,1200
Indianapolis--IN--US--Hotel Properties,8519,113,0.010,350,0,Hipmunk,Hipmunk,0.040,0,0.000,0.000,30,$0,0,0
Pittsburgh--PA--US--Hotel Properties,8520,113,0.010,350,0,Hipmunk,Hipmunk,0.040,0,0.000,0.000,30,$0,0,0
St. Louis--MO--US--Hotel Properties,8521,113,0.010,350,0,Hipmunk,Hipmunk,0.040,0,0.000,0.000,30,$0,0,0
Hotels Near Neighborhood June '14,8528,122,0.010,350,200,Hipmunk,Hipmunk,0.060,0,0.000,0.000,6,$72,84,1200
Carlsbad--CA--US--Hotel Properties,8533,123,0.010,350,0,Hipmunk,Hipmunk,0.040,0,0.000,0.000,5,$0,0,0
Garden Grove--CA--US--Hotel Properties,8535,123,0.010,350,0,Hipmunk,Hipmunk,0.040,0,0.000,0.000,5,$0,0,0
Beverly Hills--CA--US--Hotel Properties,8537,123,0.010,350,0,Hipmunk,Hipmunk,0.040,0,0.000,0.000,5,$0,0,0
Anchorage--AK--US--Hotel Properties,8538,123,0.010,350,0,Hipmunk,Hipmunk,0.040,0,0.000,0.000,5,$0,0,0
Clearwater Beach--FL--US--Hotel Properties,8539,123,0.010,350,0,Hipmunk,Hipmunk,0.040,0,0.000,0.000,5,$0,0,0
Rochester--NY--US--Hotel Properties,8540,123,0.010,350,0,Hipmunk,Hipmunk,0.040,0,0.000,0.000,5,$0,0,0
East Elmhurst--NY--US--Hotel Properties,8541,123,0.010,350,0,Hipmunk,Hipmunk,0.040,0,0.000,0.000,5,$0,0,0
Madison--WI--US--Hotel Properties,8542,123,0.010,350,0,Hipmunk,Hipmunk,0.040,0,0.000,0.000,5,$0,0,0
Carlsbad--CA--US--Flight Destination,8545,126,0.010,350,50,Hipmunk,Hipmunk,0.040,0,0.000,0.000,1,$2,2.5,50
Carlsbad--CA--US--Hotel Destination,8546,126,0.010,350,200,Hipmunk,Hipmunk,0.040,0,0.000,0.000,1,$8,10,200
Garden Grove--CA--US--Hotel Destination,8547,126,0.010,350,200,Hipmunk,Hipmunk,0.040,0,0.000,0.000,1,$8,10,200
Garden Grove--CA--US--Flight Destination,8549,126,0.010,350,50,Hipmunk,Hipmunk,0.040,0,0.000,0.000,1,$2,2.5,50
Beverly Hills--CA--US--Flight Destination,8550,126,0.010,350,50,Hipmunk,Hipmunk,0.040,0,0.000,0.000,1,$2,2.5,50
Beverly Hills--CA--US--Hotel Destination,8551,126,0.010,350,200,Hipmunk,Hipmunk,0.040,0,0.000,0.000,1,$8,10,200
Anchorage--AK--US--Hotel Destination,8552,126,0.010,350,200,Hipmunk,Hipmunk,0.040,0,0.000,0.000,1,$8,10,200
Anchorage--AK--US--Flight Destination,8553,126,0.010,350,50,Hipmunk,Hipmunk,0.040,0,0.000,0.000,1,$2,2.5,50
St. Pete Beach Flight Destination,8554,126,0.010,350,50,Hipmunk,Hipmunk,0.040,0,0.000,0.000,1,$2,2.5,50
St. Pete Beach--FL--US--Hotel Destination,8555,126,0.010,350,200,Hipmunk,Hipmunk,0.040,0,0.000,0.000,1,$8,10,200
Clearwater Beach--FL--US--Hotel Destination,8556,126,0.010,350,200,Hipmunk,Hipmunk,0.040,0,0.000,0.000,1,$8,10,200
Clearwater Beach Flight Destination,8557,126,0.010,350,50,Hipmunk,Hipmunk,0.040,0,0.000,0.000,1,$2,2.5,50
South Lake Tahoe Flight Destination,8558,126,0.010,350,50,Hipmunk,Hipmunk,0.040,0,0.000,0.000,1,$2,2.5,50
South Lake Tahoe--CA--US--Hotel Destination,8559,126,0.010,350,200,Hipmunk,Hipmunk,0.040,0,0.000,0.000,1,$8,10,200
Rochester--NY--US--Hotel Destination,8560,126,0.010,350,200,Hipmunk,Hipmunk,0.040,0,0.000,0.000,1,$8,10,200
Rochester--NY--US--Flight Destination,8561,126,0.010,350,50,Hipmunk,Hipmunk,0.040,0,0.000,0.000,1,$2,2.5,50
East Elmhurst--NY--US--Flight Destination,8562,126,0.010,350,50,Hipmunk,Hipmunk,0.040,0,0.000,0.000,1,$2,2.5,50
East Elmhurst--NY--US--Hotel Destination,8563,126,0.010,350,200,Hipmunk,Hipmunk,0.040,0,0.000,0.000,1,$8,10,200
Madison--WI--US--Hotel Destination,8565,126,0.010,350,200,Hipmunk,Hipmunk,0.040,0,0.000,0.000,1,$8,10,200
Madison--WI--US--Flight Destination,8566,126,0.010,350,50,Hipmunk,Hipmunk,0.040,0,0.000,0.000,1,$2,2.5,50
Richmond--VA--US--Hotel Properties,8567,123,0.010,350,0,Hipmunk,Hipmunk,0.040,0,0.000,0.000,30,$0,0,0
Richmond--VA--US--Flight Destination,8568,122,0.010,350,600,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$36,42,600
Richmond--VA--US--Hotel Destination,8569,122,0.010,350,1500,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$90,105,1500
Richmond--VA--US--Near Neighborhood,8570,122,0.010,350,200,Hipmunk,Hipmunk,0.060,0,0.000,0.000,3,$36,42,600
Richmond--VA--US--Near Landmark,8571,122,0.010,350,200,Hipmunk,Hipmunk,0.060,0,0.000,0.000,3,$36,42,600
Richmond--VA--US--Near Airport,8572,122,0.010,350,300,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$18,21,300
Richmond--VA--US--Best Of,8573,122,0.010,350,400,Hipmunk,Hipmunk,0.060,0,0.000,0.000,3,$72,84,1200
Charlotte--NC--US--Hotel Properties,8574,122,0.010,350,0,Hipmunk,Hipmunk,0.060,0,0.000,0.000,30,$0,0,0
Charlotte--NC--US--Flight Destination,8576,122,0.010,350,400,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$24,28,400
Charlotte--NC--US--Hotel Destination,8577,122,0.010,350,600,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$36,42,600
Charlotte--NC--US--Near Neighborhood,8578,122,0.010,350,200,Hipmunk,Hipmunk,0.060,0,0.000,0.000,3,$36,42,600
Charlotte--NC--US--Near Landmark,8580,122,0.010,350,200,Hipmunk,Hipmunk,0.060,0,0.000,0.000,3,$36,42,600
Charlotte--NC--US--Near Airport,8581,122,0.010,350,300,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$18,21,300
Charlotte--NC--US--Best Of,8582,122,0.010,350,400,Hipmunk,Hipmunk,0.060,0,0.000,0.000,3,$72,84,1200
Cambridge--MA--US--Hotel Properties,8583,122,0.010,350,0,Hipmunk,Hipmunk,0.060,0,0.000,0.000,15,$0,0,0
Cambridge--MA--US--Flight Destination,8585,122,0.010,350,400,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$24,28,400
Cambridge--MA--US--Hotel Destination,8586,122,0.010,350,600,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$36,42,600
Cambridge--MA--US--Near Landmark,8587,122,0.010,350,200,Hipmunk,Hipmunk,0.060,0,0.000,0.000,3,$36,42,600
Cambridge--MA--US--Near Neighborhood,8588,122,0.010,350,200,Hipmunk,Hipmunk,0.060,0,0.000,0.000,3,$36,42,600
Cambridge--MA--US--Near Airport,8590,122,0.010,350,300,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$18,21,300
Cambridge--MA--US--Best Of,8591,122,0.010,350,400,Hipmunk,Hipmunk,0.060,0,0.000,0.000,3,$72,84,1200
Virginia Beach--VA--US--Hotel Properties,8592,123,0.010,350,0,Hipmunk,Hipmunk,0.040,0,0.000,0.000,30,$0,0,0
Virginia Beach--VA--US--Flight Destination,8593,122,0.010,350,400,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$24,28,400
Virginia Beach--VA--US--Hotel Destination,8594,122,0.010,350,600,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$36,42,600
Virginia Beach--VA--US--Near Landmark,8595,122,0.010,350,200,Hipmunk,Hipmunk,0.060,0,0.000,0.000,3,$36,42,600
Virginia Beach--VA--US--Near Neighborhood,8597,122,0.010,350,200,Hipmunk,Hipmunk,0.060,0,0.000,0.000,3,$36,42,600
Virginia Beach--VA--US--Near Airport,8598,122,0.010,350,300,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$18,21,300
Virginia Beach--VA--US--Best Of,8599,122,0.010,350,400,Hipmunk,Hipmunk,0.060,0,0.000,0.000,3,$72,84,1200
Bloomington--MN--US--Hotel Properties,8600,123,0.010,350,0,Hipmunk,Hipmunk,0.040,0,0.000,0.000,30,$0,0,0
Bloomington--MN--US--Flight Destination,8605,122,0.010,350,400,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$24,28,400
Bloomington--MN--US--Hotel Destination,8606,122,0.010,350,600,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$36,42,600
Bloomington--MN--US--Near Landmark,8607,122,0.010,350,200,Hipmunk,Hipmunk,0.060,0,0.000,0.000,3,$36,42,600
Bloomington--MN--US--Near Neighborhood,8608,122,0.010,350,200,Hipmunk,Hipmunk,0.060,0,0.000,0.000,3,$36,42,600
Bloomington--MN--US--Near Airport,8609,122,0.010,350,300,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$18,21,300
Bloomington--MN--US--Best Of,8611,122,0.010,350,400,Hipmunk,Hipmunk,0.060,0,0.000,0.000,3,$72,84,1200
Columbus--OH--US--Hotel Properties,8612,123,0.010,350,0,Hipmunk,Hipmunk,0.040,0,0.000,0.000,30,$0,0,0
Columbus--OH--US--Flight Destination,8613,122,0.010,350,400,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$24,28,400
Columbus--OH--US--Hotel Destination,8614,122,0.010,350,600,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$36,42,600
Columbus--OH--US--Near Landmark,8616,122,0.010,350,200,Hipmunk,Hipmunk,0.060,0,0.000,0.000,3,$36,42,600
Columbus--OH--US--Near Neighborhood,8617,122,0.010,350,200,Hipmunk,Hipmunk,0.060,0,0.000,0.000,3,$36,42,600
Columbus--OH--US--Near Airport,8621,122,0.010,350,300,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$18,21,300
Columbus--OH--US--Best Of,8624,122,0.010,350,400,Hipmunk,Hipmunk,0.060,0,0.000,0.000,3,$72,84,1200
Monterey--CA--US--Hotel Properties,8626,123,0.010,350,0,Hipmunk,Hipmunk,0.040,0,0.000,0.000,30,$0,0,0
Monterey--CA--US--Flight Destination,8627,122,0.010,350,400,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$24,28,400
Monterey--CA--US--Hotel Destination,8628,122,0.010,350,600,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$36,42,600
Monterey--CA--US--Near Landmark,8629,122,0.010,350,200,Hipmunk,Hipmunk,0.060,0,0.000,0.000,3,$36,42,600
Monterey--CA--US--Near Neighborhood,8630,122,0.010,350,200,Hipmunk,Hipmunk,0.060,0,0.000,0.000,3,$36,42,600
Monterey--CA--US--Near Airport,8631,122,0.010,350,300,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$18,21,300
Monterey--CA--US--Best Of,8632,122,0.010,350,400,Hipmunk,Hipmunk,0.060,0,0.000,0.000,3,$72,84,1200
