No.,Article Number,Article Title,Keyword,Client,Campaign Name,Editor,Copywriter,Article Type,Number of Words,Keyword Match in Content,Submit Date,Cost
1,V-14-7700-226345,Scientifically Speaking: 5 Reasons Break-ups Hurt so Badly,Scientifically Speaking: # Reasons Break-ups Hurt so Badly,VSE,Hollywood Psychics,ARadesEditor      3,lyndsierobinson[1]      3      3,SHAREBAIT,500,0,2014-07-24 14:38:46,30
2,V-14-7700-226341,How to Talk to Your Partner About Bringing Someone Else Into the Bedroom,"How to Talk to Your Partner About Bringing Someone Else into the Bedroom ",VSE,Hollywood Psychics,MRichardsonEdit      0,lyndsierobinson[1]      3      3,SHAREBAIT,500,0,2014-07-25 00:11:49,30
3,V-14-7700-226340,The Dos and Don'ts of Post-Breakup Life,"The Dos and Don't of Post-Breakup Life",VSE,Hollywood Psychics,MRichardsonEdit      0,lyndsierobinson[1]      3      3,SHAREBAIT,500,0,2014-07-25 06:11:51,30
4,V-14-7700-226334,4 Ways to Keep Long-term Sex Interesting,"# Ways to Keep Long-term Sex Interesting",VSE,Hollywood Psychics,MCaldarelliEdit      0,lyndsierobinson[1]      3      3,SHAREBAIT,500,0,2014-07-25 07:21:18,30
5,V-14-7700-226333,7 Signs He's in Love with You Even if He Hasn't Said it,"# Signs He's in Love with You Even if He Hasn't Said it",VSE,Hollywood Psychics,MCaldarelliEdit      0,aliciarades[1]      0      0,SHAREBAIT,500,0,2014-07-24 15:35:07,30
6,V-14-7899-226267,Psychic Chakras: What Are They?,"Psychic Chakras: What Are They? ",VSE,PsychicSource,AnnaKuehlEditor      7,natashamier[1]      1      1,SHAREBAIT,500,0,2014-07-23 19:48:23,30
7,V-14-7899-222565,5 Ways to Know if You're on the Right Life Path," # Ways to Know if You're on the Right Life Path",VSE,PsychicSource,ADodgeEditor      5,mandirogier[1]      17      5,SHAREBAIT,500,0,2014-06-12 07:49:11,30
8,V-14-7899-222564,4 Places to Find the Perfect Pet for Your Family,"# Places to Find the Perfect Pet for Your Family",VSE,PsychicSource,ADodgeEditor      5,mandirogier[1]      17      5,SHAREBAIT,500,0,2014-06-12 08:26:36,30
9,V-14-7899-222563,4 Effective Ways to Tell Your Kids &quot;NO&quot;,"# Effective Ways to Tell Your Kids &quot;NO&quot;",VSE,PsychicSource,ADodgeEditor      5,laurenkatulka[1]      11      7,SHAREBAIT,500,0,2014-06-12 03:29:57,30
10,V-14-7899-222562,4 Things That Ruin Marriages (And How You Can Prevent Them),"# Things That Ruin Marriages (And How You Can Prevent Them)",VSE,PsychicSource,ADodgeEditor      5,laurenkatulka[1]      11      7,SHAREBAIT,500,0,2014-06-12 02:12:00,30
11,V-14-7899-222561,4 Methods That Can Actually Help You Quit Smoking,"# Methods That Can Actually Help You Quit Smoking",VSE,PsychicSource,ADodgeEditor      5,natashamier[1]      1      1,SHAREBAIT,500,0,2014-06-11 22:24:02,30
12,V-14-7899-222560,4 Ways to Overcome the Fear of Being Alone,"# Ways to Overcome the Fear of Being Alone",VSE,PsychicSource,ADodgeEditor      5,natashamier[1]      1      1,SHAREBAIT,500,0,2014-06-11 22:02:13,30
13,V-14-7700-222559,4 Ways to Overcome Fear,# Ways to Overcome Fear,VSE,Hollywood Psychics,CarolineCampbell      34,laurenkatulka[1]      11      7,SHAREBAIT,500,0,2014-06-15 19:33:21,30
14,V-14-7700-222558,4 Things You Can Learn from a Bad Breakup,"# Things You Can Learn From a Bad Breakup",VSE,Hollywood Psychics,CarolineCampbell      34,laurenkatulka[1]      11      7,SHAREBAIT,500,0,2014-06-15 01:16:03,30
15,V-14-7700-222557,4 Ways to Stay True to Yourself,"# Ways to Stay True to Yourself",VSE,Hollywood Psychics,CarolineCampbell      34,laurenkatulka[1]      11      7,SHAREBAIT,500,0,2014-06-15 00:08:33,30
16,V-14-7700-222556,5 Ways to Remember Life is Better Than You Think,"# Ways to Remember Life is Better Than You Think",VSE,Hollywood Psychics,CarolineCampbell      34,laurenkatulka[1]      11      7,SHAREBAIT,500,0,2014-06-14 20:09:54,30
17,V-14-7700-222555,4 Weekend Activities to Change Your View of the World,"# Weekend Activities To Change Your View of the World",VSE,Hollywood Psychics,CarolineCampbell      34,laurenkatulka[1]      11      7,SHAREBAIT,500,0,2014-06-14 18:41:55,30
18,V-14-7700-222554,6 Home Upgrades that Promote Spiritual Growth,"# Home Upgrades that Promote Spiritual Growth",VSE,Hollywood Psychics,CarolineCampbell      34,mandirogier[1]      17      5,SHAREBAIT,500,0,2014-06-17 11:47:57,30
19,V-14-7700-222553,How to Deal With a Job You Hate,"How to Deal With a Job You Hate",VSE,Hollywood Psychics,CarolineCampbell      34,mandirogier[1]      17      5,SHAREBAIT,500,0,2014-06-17 11:18:59,30
20,V-14-7700-222552,How to Make the Most of Life's In-Between Phases,"How to Make the Most of Life's In-Between Phases",VSE,Hollywood Psychics,CarolineCampbell      34,mandirogier[1]      17      5,SHAREBAIT,500,0,2014-06-17 10:03:38,30
21,V-14-7700-222551,6 Ways You're Sabotaging Your Own Happiness,"# Ways You're Sabotaging Your Own Happiness",VSE,Hollywood Psychics,CarolineCampbell      34,mandirogier[1]      17      5,SHAREBAIT,500,0,2014-06-17 09:31:44,30
22,V-14-7700-222550,5 Life Skills Absolutely Everyone Needs,"# Life Skills Absolutely Everyone Needs",VSE,Hollywood Psychics,CarolineCampbell      34,mandirogier[1]      17      5,SHAREBAIT,500,0,2014-06-17 08:01:02,30
23,V-14-7700-222549,4 Trips that Will Change Your Life,"# Trips that Will Change Your Life",VSE,Hollywood Psychics,CarolineCampbell      34,laurenkatulka[1]      11      7,SHAREBAIT,500,0,2014-06-11 18:07:49,30
24,V-14-7700-222548,4 Things that Might be Keeping You from Finding Love," # Things that Might be Keeping You from Finding Love",VSE,Hollywood Psychics,CarolineCampbell      34,laurenkatulka[1]      11      7,SHAREBAIT,500,0,2014-06-11 18:06:08,30
25,V-14-7700-222547,5 Small Actions that Can Save a Marriage,"# Small Actions that Can Save a Marriage",VSE,Hollywood Psychics,CarolineCampbell      34,mandirogier[1]      17      5,SHAREBAIT,500,0,2014-06-11 06:55:22,30
26,V-14-7700-222546,Tips For Dealing with Joint-Custody,"Tips For Dealing with Joint-Custody",VSE,Hollywood Psychics,CarolineCampbell      34,mandirogier[1]      17      5,SHAREBAIT,500,0,2014-06-11 08:16:29,30
27,V-14-7700-222545,How to Choose a Focal Point for Meditation,"How to Choose a Focal Point for Meditation",VSE,Hollywood Psychics,CarolineCampbell      34,natashamier[1]      1      1,SHAREBAIT,500,0,2014-06-11 11:30:07,30
28,V-14-7700-222544,4 Dreams You Should Never Ignore,"# Dreams You Should Never Ignore",VSE,Hollywood Psychics,CarolineCampbell      34,natashamier[1]      1      1,SHAREBAIT,500,0,2014-06-11 09:03:27,30
