Site_ID,Date,Product_Title,eBay URL,Google search URL,Category Name,Catalog_ID
0,3/23/2012,Cisco  Catalyst (WS-C3750G-24T-S) 24-Ports Switch Managed stackable,#REF!,Google,Computers & Networking,513
0,3/23/2012,HP  ProCurve (J4899A) 48-Ports External Switch Managed stackable,#REF!,Google,Computers & Networking,513
0,3/23/2012,Pioneer Elite VSX 53TX 7.1 Channel 700 Watt Receiver,#REF!,Google,Consumer Electronics,34
0,3/23/2012,Zalman 5.1Ch USB (ZMRSSC) Sound Card,#REF!,Google,Computers & Networking,532
0,3/23/2012,Symbol Technologies MC9060-G,#REF!,Google,Cell Phones & PDAs,12
0,3/23/2012,ASUSTeK COMPUTER P4C800-E Deluxe Socket 478 Intel Motherboard,#REF!,Google,Computers & Networking,512
0,3/23/2012,Cisco  Express Forwarding (WSX6748GETX) 48-Ports Switch Managed,#REF!,Google,Computers & Networking,513
0,3/23/2012,Hoya Haze UV0 (X52UVGB) 52 mm Filter,#REF!,Google,Cameras & Photo,545
0,3/23/2012,Symbol Technologies MC50 Enterprise Digital Assistant,#REF!,Google,Cell Phones & PDAs,12
0,3/23/2012,Nikon (2482) 77 mm Filter,#REF!,Google,Cameras & Photo,545
0,3/23/2012,ASUSTeK COMPUTER P4P800-E Deluxe Socket 478 Intel Motherboard,#REF!,Google,Computers & Networking,512
0,3/23/2012,Intel D945GTP LGA775 Socket Motherboard,#REF!,Google,Computers & Networking,512
0,3/23/2012,Intel D945GNT LGA775 Socket Motherboard,#REF!,Google,Computers & Networking,512
0,3/23/2012,Hoya NDx400 (A77ND400) 77 mm Filter,#REF!,Google,Cameras & Photo,545
0,3/23/2012,Zebra Encore 3 Label Thermal Printer,#REF!,Google,Computers & Networking,42
0,3/23/2012,Samsung BIXOLON SRP-350 POS Thermal Printer,#REF!,Google,Computers & Networking,42
0,3/23/2012,Star Micronics SP300 POS Dot matrix Printer,#REF!,Google,Computers & Networking,42
0,3/23/2012,HP LaserJet 2430n Workgroup Laser Printer,#REF!,Google,Computers & Networking,42
0,3/23/2012,HP LaserJet 1320n Workgroup Laser Printer,#REF!,Google,Computers & Networking,42
0,3/23/2012,Intermec EasyCoder PD4 Label Thermal Printer,#REF!,Google,Computers & Networking,42
0,3/23/2012,Fargo DTC400 ID card Thermal Printer,#REF!,Google,Computers & Networking,42
