Title,Direction,Resource Link 1,Resource Link 2,Resource Link 3,Desired Placement,Anchor Text
boutique hotels in the US New Orleans,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/hotels-in-new-orleans-la/hilton-garden-inn-new-orleans-convention-center-509bfdc366edc84661018fef-reviews,hipmunk.com/hotels-in-new-orleans-la/hyatt-french-quarter-509c00ea66edc846610400cd-reviews,hipmunk.com/independent-hotels-in-new-orleans-la_bourbon-orleans-hotel-509bfdc566edc84661019117-reviews,hipmunk.com/independent-hotels-in-new-orleans-la_le-richelieu-in-the-french-quarter-509bff4666edc8466102a01a-reviews,hipmunk.com/independent-hotels-in-new-orleans-la_prince-conti-hotel-509bfdc466edc84661019074-reviews
boutique hotels in the US New York City,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/independent-hotels-in-new-york-city-ny_chelsea-savoy-hotel-509c011866edc8466104234e-reviews,hipmunk.com/independent-hotels-in-new-york-city-ny_dumont-nyc-an-affinia-hotel-54b528ecc0852e19f700003a-reviews,hipmunk.com/independent-hotels-in-new-york-city-ny_hotel-belleclaire-509bfdc466edc8466101906e-reviews,hipmunk.com/independent-hotels-in-new-york-city-ny_la-quinta-inn-suites-manhattan-509bfc3266edc846610052c1-reviews,hipmunk.com/independent-hotels-in-new-york-city-ny_shelburne-nyc-an-affinia-hotel-509bfdd166edc846610195ec-reviews
boutique hotels in the US New York City,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/hotels-in-new-york-city-ny/w-new-york-times-square-509c011766edc846610422ad-reviews,hipmunk.com/hotels-in-new-york-city-ny/hilton-times-square-509c011866edc8466104237b-reviews,hipmunk.com/hotels-in-new-york-city-ny/the-lexington-new-york-city-autograph-collection-509bfdbd66edc84661018b57-reviews,hipmunk.com/independent-hotels-in-new-york-city-ny_yotel-new-york-at-times-square-509c011766edc846610422f5-reviews,hipmunk.com/independent-hotels-in-new-york-city-ny_warwick-new-york-hotel-509bfdc466edc8466101902c-reviews
boutique hotels in the US New York City,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/independent-hotels-in-new-york-city-ny_hotel-belleclaire-509bfdc466edc8466101906e-reviews,hipmunk.com/independent-hotels-in-new-york-city-ny_dumont-nyc-an-affinia-hotel-54b528ecc0852e19f700003a-reviews,hipmunk.com/hotels-in-new-york-city-ny/the-lexington-new-york-city-autograph-collection-509bfdbd66edc84661018b57-reviews,hipmunk.com/hotels-in-new-york-city-ny/hilton-times-square-509c011866edc8466104237b-reviews,hipmunk.com/independent-hotels-in-new-york-city-ny_yotel-new-york-at-times-square-509c011766edc846610422f5-reviews
boutique hotels in the US San Diego,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/independent-hotels-in-san-diego-ca_red-roof-inn-san-diego-downtown-509bfcc866edc8466100c729-reviews,hipmunk.com/hotels-in-san-diego-ca/comfort-inn-suites-san-diego-zoo-seaworld-area-509bff1566edc84661028103-reviews,hipmunk.com/hotels-in-san-diego-ca/hilton-san-diego-resort-spa-509bfdc366edc84661018fd3-reviews,hipmunk.com/hotels-in-san-diego-ca/san-diego-marriott-marquis-marina-509bff1966edc84661028327-reviews,hipmunk.com/independent-hotels-in-san-diego-ca_500-west-hotel-san-diego-downtown-509bfc7b66edc84661008bb8-reviews
boutique hotels in the US Savannah,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/hotels-in-savannah-ga/hilton-savannah-desoto-509bfdd166edc846610195c6-reviews,hipmunk.com/hotels-in-savannah-ga/savannah-marriott-riverfront-509bfdd066edc8466101954d-reviews,hipmunk.com/independent-hotels-in-savannah-ga_east-bay-inn-509bff2566edc84661028cde-reviews,hipmunk.com/independent-hotels-in-savannah-ga_kehoe-house-509bfe5466edc8466101f62c-reviews,hipmunk.com/independent-hotels-in-savannah-ga_the-marshall-house-509bfee966edc84661025ef2-reviews
boutique hotels in the US Chicago,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/independent-hotels-in-chicago-il_millennium-knickerbocker-509bfdc766edc84661019276-reviews,hipmunk.com/independent-hotels-in-chicago-il_hotel-monaco-chicago-a-kimpton-hotel-509bfdd266edc84661019694-reviews,hipmunk.com/independent-hotels-in-chicago-il_chicago-getaway-hostel-509bfdc566edc846610190e5-reviews,hipmunk.com/hotels-in-chicago-il/the-westin-michigan-avenue-chicago-509bfdce66edc846610193b6-reviews,hipmunk.com/independent-hotels-in-chicago-il_trump-international-hotel-tower-chicago-509bfe3766edc8466101e180-reviews
boutique hotels in the US Chicago,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/hotels-in-chicago-il/aloft-chicago-city-center-509c01b766edc84661049fb8-reviews,hipmunk.com/hotels-in-chicago-il/best-western-plus-hawthorne-terrace-hotel-509bfee566edc84661025bd8-reviews,hipmunk.com/hotels-in-chicago-il/fairfield-inn-suites-chicago-downtownriver-north-509c024c66edc84661051a57-reviews,hipmunk.com/hotels-in-chicago-il/hilton-chicago-ohare-airport-509bfdaf66edc84661018274-reviews,hipmunk.com/independent-hotels-in-chicago-il_trump-international-hotel-tower-chicago-509bfe3766edc8466101e180-reviews
boutique hotels in the US Kailua Kona,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/independent-hotels-in-kailua-kona-hi_kona-seaside-hotel-509bfefd66edc84661026e01-reviews,hipmunk.com/Independent-Hotels-in-Kailua-Kona-HI_Kona-Hawaii-Guesthouse-5254c1517f2c6c4c550000f5-Reviews,hipmunk.com/Independent-Hotels-in-Kailua-Kona-HI_Kona-Seaside-Hotel-509bfefd66edc84661026e01-Reviews,hipmunk.com/Independent-Hotels-in-Kailua-Kona-HI_Wyndham-Royal-Sea-Cliff-528fd85ec0852e6a6d0000d3-Reviews,hipmunk.com/Independent-Hotels-in-Kailua-Kona-HI_Uncle-Billys-Kona-Bay-Hotel-509c01a866edc846610491fb-Reviews
boutique hotels in the US Houston,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/independent-hotels-in-houston-tx_omni-houston-hotel-509bfdbf66edc84661018d09-reviews,hipmunk.com/independent-hotels-in-houston-tx_hotel-derek-houston-galleria-509bfdd166edc84661019649-reviews,hipmunk.com/hotels-in-houston-tx/the-st-regis-houston-509bfe1f66edc8466101cebf-reviews,hipmunk.com/hotels-in-houston-tx/hyatt-regency-houston-509bfdd066edc846610195a5-reviews,hipmunk.com/hotels-in-houston-tx/hotel-icon-autograph-collection-509bfe0f66edc8466101c27a-reviews
boutique hotels in the US Irving,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/independent-hotels-in-irving-tx_nylo-dallas-las-colinas-509bfee866edc84661025df0-reviews,hipmunk.com/Independent-Hotels-in-Irving-TX_DFW-Airport-Hotel-and-Conference-Center-509bfdd166edc846610195eb-Reviews,hipmunk.com/hotels-in-irving-tx/the-westin-dallas-fort-worth-airport-509bfe8c66edc84661021d58-reviews,hipmunk.com/hotels-in-irving-tx/aloft-las-colinas-509bfe9c66edc846610229e0-reviews,hipmunk.com/Independent-Hotels-in-Irving-TX_NYLO-Dallas-Las-Colinas-509bfee866edc84661025df0-Reviews
boutique hotels in the US Hollywood,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/hotels-in-hollywood-ca/motel-6-los-angeles-hollywood-509bfd9966edc84661016e7f-reviews,hipmunk.com/hotels-in-hollywood-ca/w-hollywood-509c013b66edc846610440e3-reviews,hipmunk.com/independent-hotels-in-hollywood-ca_loews-hollywood-hotel-509c013a66edc84661044062-reviews,hipmunk.com/independent-hotels-in-hollywood-ca_magic-castle-hotel-509bfd2f66edc846610119d4-reviews,hipmunk.com/independent-hotels-in-hollywood-ca_the-redbury-hollywood-and-vine-509bfe7466edc84661020b0b-reviews
boutique hotels in the US St. Pete Beach,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/independent-hotels-in-st-pete-beach-fl_dolphin-beach-resort-509bfdc566edc84661019138-reviews,hipmunk.com/independent-hotels-in-st-pete-beach-fl_sirata-beach-resort-50ed9492bb290e6e270001c8-reviews,hipmunk.com/Independent-Hotels-in-St-Pete-Beach-FL_Beach-House-Suites-509bfd3166edc84661011b9a-Reviews,hipmunk.com/Independent-Hotels-in-St-Pete-Beach-FL_Loews-Don-CeSar-Hotel-509bfbdb66edc8466100095d-Reviews,hipmunk.com/Independent-Hotels-in-St-Pete-Beach-FL_Guy-Harvey-Outpost-a-TradeWinds-Beach-Resort-509c01e766edc8466104c7cf-Reviews
boutique hotels in the US Pittsburgh,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Pittsburgh-PA_Red-Roof-PLUS-Pittsburgh-South-Airport-509bfd7266edc84661015035-Reviews,hipmunk.com/Independent-Hotels-in-Pittsburgh-PA_Omni-William-Penn-Hotel-509bfdc266edc84661018e5b-Reviews,hipmunk.com/Independent-Hotels-in-Pittsburgh-PA_Sunnyledge-Boutique-Hotel-and-Tea-Room-509bfe9366edc846610221d4-Reviews,hipmunk.com/independent-hotels-in-pittsburgh-pa_hyatt-regency-pittsburgh-international-airport-509bff0366edc846610272e2-reviews,hipmunk.com/hotels-in-pittsburgh-pa/renaissance-pittsburgh-hotel-509bfeda66edc84661025366-reviews
boutique hotels in the US Pismo Beach,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/independent-hotels-in-pismo-beach-ca_pismo-lighthouse-suites-509bfea266edc84661022bfd-reviews,hipmunk.com/independent-hotels-in-pismo-beach-ca_the-cliffs-509bfef066edc846610261ed-reviews,hipmunk.com/Independent-Hotels-in-Pismo-Beach-CA_Pismo-Lighthouse-Suites-509bfea266edc84661022bfd-Reviews,hipmunk.com/Independent-Hotels-in-Pismo-Beach-CA_SeaCrest-OceanFront-Hotel-509bfdc466edc84661019079-Reviews,hipmunk.com/Independent-Hotels-in-Pismo-Beach-CA_Spyglass-Inn-509bfe8566edc84661021713-Reviews
boutique hotels in the US San Diego,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/independent-hotels-in-san-diego-ca_the-dana-on-mission-bay-509bfdc566edc8466101918e-reviews,hipmunk.com/independent-hotels-in-san-diego-ca_red-roof-inn-san-diego-downtown-509bfcc866edc8466100c729-reviews,hipmunk.com/hotels-in-san-diego-ca/comfort-inn-suites-san-diego-zoo-seaworld-area-509bff1566edc84661028103-reviews,hipmunk.com/hotels-in-san-diego-ca/hilton-san-diego-resort-spa-509bfdc366edc84661018fd3-reviews,hipmunk.com/hotels-in-san-diego-ca/san-diego-marriott-marquis-marina-509bff1966edc84661028327-reviews
boutique hotels in the US Savannah,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/independent-hotels-in-savannah-ga_kehoe-house-509bfe5466edc8466101f62c-reviews,hipmunk.com/independent-hotels-in-savannah-ga_the-marshall-house-509bfee966edc84661025ef2-reviews,hipmunk.com/hotels-in-savannah-ga/hilton-savannah-desoto-509bfdd166edc846610195c6-reviews,hipmunk.com/independent-hotels-in-savannah-ga_east-bay-inn-509bff2566edc84661028cde-reviews,hipmunk.com/hotels-in-savannah-ga/savannah-marriott-riverfront-509bfdd066edc8466101954d-reviews
boutique hotels in the US Los Angeles,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/hotels-in-los-angeles-ca/the-standard-downtown-la-509bfdb966edc8466101898b-reviews,hipmunk.com/independent-hotels-in-los-angeles-ca_hotel-wilshire-a-kimpton-hotel-509bffe466edc84661031d1d-reviews,hipmunk.com/independent-hotels-in-los-angeles-ca_miyako-hotel-los-angeles-509bfdc266edc84661018e82-reviews,hipmunk.com/independent-hotels-in-los-angeles-ca_stay-on-main-509bfd7166edc84661015008-reviews,hipmunk.com/independent-hotels-in-los-angeles-ca_the-dixie-hollywood-509bfe4e66edc8466101f287-reviews
boutique hotels in the US La Jolla,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/hotels-in-la-jolla-ca/hilton-la-jolla-torrey-pines-5257f8d87f2c6c2dd90002ca-reviews,hipmunk.com/independent-hotels-in-la-jolla-ca_the-lodge-at-torrey-pines-509bfdce66edc8466101945c-reviews,hipmunk.com/Independent-Hotels-in-La-Jolla-CA_Estancia-La-Jolla-Hotel-Spa-509bfdcc66edc84661019380-Reviews,hipmunk.com/Independent-Hotels-in-La-Jolla-CA_Grande-Colonial-Hotel-509bfe7d66edc84661021219-Reviews,hipmunk.com/independent-hotels-in-la-jolla-ca_la-valencia-hotel-509bfefb66edc84661026b69-reviews
