EPID,eBay URL,Google search URL,Product Title
106922233,http://catalog.ebay.com/106922233,"http://www.google.com/search?q=NBA 2K12  (PlayStation 2, 2011)","NBA 2K12  (PlayStation 2, 2011)"
112090335,http://catalog.ebay.com/112090335,"http://www.google.com/search?q=LittleBigPlanet 2 (Move Bundle)  (Sony Playstation 3, 2011)","LittleBigPlanet 2 (Move Bundle)  (Sony Playstation 3, 2011)"
113089643,http://catalog.ebay.com/113089643,"http://www.google.com/search?q=Disgaea 4 : A Promise Unforgotten Premium Edition  (Sony Playstation 3, 2011)","Disgaea 4 : A Promise Unforgotten Premium Edition  (Sony Playstation 3, 2011)"
114186957,http://catalog.ebay.com/114186957,"http://www.google.com/search?q=Disgaea 3: Absence of Detention  (PlayStation Vita, 2012)","Disgaea 3: Absence of Detention  (PlayStation Vita, 2012)"
114238471,http://catalog.ebay.com/114238471,"http://www.google.com/search?q=The Witcher 2 Assassins of Kings - (Dark Edition)  (Xbox 360, 2012)","The Witcher 2 Assassins of Kings - (Dark Edition)  (Xbox 360, 2012)"
108293252,http://catalog.ebay.com/108293252,"http://www.google.com/search?q=Mario Tennis Open  (Nintendo 3DS, 2012)","Mario Tennis Open  (Nintendo 3DS, 2012)"
110950514,http://catalog.ebay.com/110950514,"http://www.google.com/search?q=The Elder Scrolls V Skyrim (Collector's Edition)  (PC, 2011)","The Elder Scrolls V Skyrim (Collector's Edition)  (PC, 2011)"
112452671,http://catalog.ebay.com/112452671,"http://www.google.com/search?q=Fallout New Vegas Ultimate Edition  (Xbox 360, 2012)","Fallout New Vegas Ultimate Edition  (Xbox 360, 2012)"
110679081,http://catalog.ebay.com/110679081,"http://www.google.com/search?q=World of Warcraft (Battle Chest)  (PC, 2008)","World of Warcraft (Battle Chest)  (PC, 2008)"
111349184,http://catalog.ebay.com/111349184,"http://www.google.com/search?q=The Elder Scrolls V Skyrim (Collector's Edition)  (Xbox 360, 2011)","The Elder Scrolls V Skyrim (Collector's Edition)  (Xbox 360, 2011)"
111107385,http://catalog.ebay.com/111107385,"http://www.google.com/search?q=Viva Pinata Trouble in Paradise  (Xbox 360, 2008)","Viva Pinata Trouble in Paradise  (Xbox 360, 2008)"
108708834,http://catalog.ebay.com/108708834,"http://www.google.com/search?q=ArmA 2 Combined Operations  (PC, 2010)","ArmA 2 Combined Operations  (PC, 2010)"
111106059,http://catalog.ebay.com/111106059,"http://www.google.com/search?q=Meruru no Atelier: Arland no Renkinjutsushi 3 [Premium Box]  (Sony Playstation 3, 2011)","Meruru no Atelier: Arland no Renkinjutsushi 3 [Premium Box]  (Sony Playstation 3, 2011)"
114257941,http://catalog.ebay.com/114257941,"http://www.google.com/search?q=The Witcher 2: Assassins of Kings Enhanced Edition  (PC, 2012)","The Witcher 2: Assassins of Kings Enhanced Edition  (PC, 2012)"
114538224,http://catalog.ebay.com/114538224,"http://www.google.com/search?q=Max Payne 3 (Special Edition)  (PlayStation 3, 2012)","Max Payne 3 (Special Edition)  (PlayStation 3, 2012)"
114633411,http://catalog.ebay.com/114633411,"http://www.google.com/search?q=Resistance: Burning Skies  (PlayStation Vita, 2012)","Resistance: Burning Skies  (PlayStation Vita, 2012)"
56237025,http://catalog.ebay.com/56237025,http://www.google.com/search?q=Moon Ranger (Nintendo),Moon Ranger (Nintendo)
113090663,http://catalog.ebay.com/113090663,"http://www.google.com/search?q=The Darkness II Limited Edition  (Sony Playstation 3, 2012)","The Darkness II Limited Edition  (Sony Playstation 3, 2012)"
114356758,http://catalog.ebay.com/114356758,"http://www.google.com/search?q=The Sims 3 Showtime Katy Perry Collector's Edition  (PC Games, 2012)","The Sims 3 Showtime Katy Perry Collector's Edition  (PC Games, 2012)"
114282962,http://catalog.ebay.com/114282962,"http://www.google.com/search?q=Sports Champions and Medieval Moves: Deadmund's Quest (Move Bundle)  (Sony Playstation 3, 2011)","Sports Champions and Medieval Moves: Deadmund's Quest (Move Bundle)  (Sony Playstation 3, 2011)"
114534710,http://catalog.ebay.com/114534710,"http://www.google.com/search?q=Skylanders: Spyro's Adventure Mega Pack ( Starter Pack, 3-Character Pack, Adventure Pack)  (Wii, 2011)","Skylanders: Spyro's Adventure Mega Pack ( Starter Pack, 3-Character Pack, Adventure Pack)  (Wii, 2011)"
114584286,http://catalog.ebay.com/114584286,"http://www.google.com/search?q=Borderlands 2  (Xbox 360, 2012)","Borderlands 2  (Xbox 360, 2012)"
100239626,http://catalog.ebay.com/100239626,http://www.google.com/search?q=Atelier Meruru: The Alchemist of Arland 3 (Sony Playstation 3),Atelier Meruru: The Alchemist of Arland 3 (Sony Playstation 3)
114700625,http://catalog.ebay.com/114700625,"http://www.google.com/search?q=Dirt Showdown  (PC, 2012)","Dirt Showdown  (PC, 2012)"
