Task Name,Directions,Link,Link,Link,Link,Link
boutique hotels in the US California,"These are your Boutique Hotels assignments. In the fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Once it is Editor Approved you can publish and submit your link through this form: https://docs.google.com/a/steelcast.com/forms/d/1yy3ZCO3PxUTv_ZeiNVEw0AGdAX7w4lgyps9F8rtD2Eg/viewform Thanks everyone!",hipmunk.com/independent-hotels-in-anaheim-ca_alamo-inn-suites-509bfe6466edc84661020215-reviews,hipmunk.com/independent-hotels-in-anaheim-ca_la-quinta-inn-suites-anaheim-509bfdcf66edc84661019524-reviews,hipmunk.com/hotels-in-anaheim-ca/sheraton-park-hotel-at-the-anaheim-resort-509c01f266edc8466104d11e-reviews,hipmunk.com/hotels-in-burlingame-ca/embassy-suites-san-francisco-airport-waterfront-509bfea666edc84661022ee5-reviews,hipmunk.com/hotels-in-hollywood-ca/motel-6-los-angeles-hollywood-509bfd9966edc84661016e7f-reviews
boutique hotels in the US Hawaii,"These are your Boutique Hotels assignments. In the fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Once it is Editor Approved you can publish and submit your link through this form: https://docs.google.com/a/steelcast.com/forms/d/1yy3ZCO3PxUTv_ZeiNVEw0AGdAX7w4lgyps9F8rtD2Eg/viewform Thanks everyone!",hipmunk.com/independent-hotels-in-honolulu-hi_aqua-aloha-surf-waikiki-509bfd4c66edc84661013149-reviews,hipmunk.com/independent-hotels-in-honolulu-hi_aqua-waikiki-wave-509bfe8c66edc84661021d31-reviews,hipmunk.com/independent-hotels-in-honolulu-hi_hawaii-prince-hotel-waikiki-509c00dd66edc8466103f885-reviews,hipmunk.com/independent-hotels-in-honolulu-hi_maile-sky-court-509c024566edc8466105145e-reviews,hipmunk.com/independent-hotels-in-kahului-hi_maui-beach-hotel-509bfe6266edc84661020110-reviews
boutique hotels in the US Hawaii,"These are your Boutique Hotels assignments. In the fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Once it is Editor Approved you can publish and submit your link through this form: https://docs.google.com/a/steelcast.com/forms/d/1yy3ZCO3PxUTv_ZeiNVEw0AGdAX7w4lgyps9F8rtD2Eg/viewform Thanks everyone!",hipmunk.com/independent-hotels-in-honolulu-hi_aqua-aloha-surf-waikiki-509bfd4c66edc84661013149-reviews,hipmunk.com/independent-hotels-in-honolulu-hi_maile-sky-court-509c024566edc8466105145e-reviews,hipmunk.com/independent-hotels-in-honolulu-hi_aqua-waikiki-wave-509bfe8c66edc84661021d31-reviews,hipmunk.com/independent-hotels-in-honolulu-hi_hawaii-prince-hotel-waikiki-509c00dd66edc8466103f885-reviews,hipmunk.com/independent-hotels-in-kahului-hi_maui-beach-hotel-509bfe6266edc84661020110-reviews
boutique hotels in the US Texas,"These are your Boutique Hotels assignments. In the fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Once it is Editor Approved you can publish and submit your link through this form: https://docs.google.com/a/steelcast.com/forms/d/1yy3ZCO3PxUTv_ZeiNVEw0AGdAX7w4lgyps9F8rtD2Eg/viewform Thanks everyone!",hipmunk.com/hotels-in-lubbock-tx/embassy-suites-lubbock-509bfe7f66edc846610213a3-reviews,hipmunk.com/hotels-in-austin-tx/hilton-austin-airport-509bfea466edc84661022d94-reviews,hipmunk.com/hotels-in-dallas-tx/sheraton-dallas-hotel-by-the-galleria-509bfdd366edc8466101977f-reviews,hipmunk.com/hotels-in-dallas-tx/sheraton-suites-market-center-509bfe4066edc8466101e853-reviews,hipmunk.com/independent-hotels-in-houston-tx_omni-houston-hotel-509bfdbf66edc84661018d09-reviews
boutique hotels in the US Minnesota,"These are your Boutique Hotels assignments. In the fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Once it is Editor Approved you can publish and submit your link through this form: https://docs.google.com/a/steelcast.com/forms/d/1yy3ZCO3PxUTv_ZeiNVEw0AGdAX7w4lgyps9F8rtD2Eg/viewform Thanks everyone!",hipmunk.com/hotels-in-bloomington-mn/hyatt-place-minneapolis-airport-south-509bfdd266edc846610196ff-reviews,hipmunk.com/hotels-in-duluth-mn/hampton-inn-duluth-canal-park-509bfcbd66edc8466100bddd-reviews,hipmunk.com/hotels-in-duluth-mn/holiday-inn-suites-duluth-downtown-509bfdf766edc8466101b127-reviews,hipmunk.com/hotels-in-minneapolis-mn/aloft-minneapolis-509bfea766edc84661023010-reviews,hipmunk.com/independent-hotels-in-minneapolis-mn_holiday-inn-express-hotel-suites-downtown-minneapolis-509c00e666edc8466103fe56-reviews
boutique hotels in the US Colorado,"These are your Boutique Hotels assignments. In the fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Once it is Editor Approved you can publish and submit your link through this form: https://docs.google.com/a/steelcast.com/forms/d/1yy3ZCO3PxUTv_ZeiNVEw0AGdAX7w4lgyps9F8rtD2Eg/viewform Thanks everyone!",hipmunk.com/independent-hotels-in-aspen-co_limelight-hotel-aspen-52557c7d7f2c6c041300026b-reviews,hipmunk.com/independent-hotels-in-denver-co_magnolia-hotel-denver-509bfdd366edc84661019745-reviews,hipmunk.com/hotels-in-durango-co/doubletree-by-hilton-durango-509bfef466edc8466102657a-reviews,hipmunk.com/Independent-Hotels-in-Aspen-CO_Aspen-Mountain-Lodge-509bfc6f66edc84661008432-Reviews,hipmunk.com/Independent-Hotels-in-Aspen-CO_Sky-Hotel-a-Kimpton-Hotel-509bfe1566edc8466101c71d-Reviews
boutique hotels in the US Illinois,"These are your Boutique Hotels assignments. In the fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Once it is Editor Approved you can publish and submit your link through this form: https://docs.google.com/a/steelcast.com/forms/d/1yy3ZCO3PxUTv_ZeiNVEw0AGdAX7w4lgyps9F8rtD2Eg/viewform Thanks everyone!",hipmunk.com/Independent-Hotels-in-East-St-Louis-IL_Casino-Queen-Hotel-509bfea366edc84661022cf0-Reviews,hipmunk.com/Independent-Hotels-in-Galena-IL_Eagle-Ridge-Resort-and-Spa-509bfbcd66edc8466100003c-Reviews,hipmunk.com/independent-hotels-in-willowbrook-il_the-champagne-lodge-luxury-suites-509bfc2566edc846610046fa-reviews,hipmunk.com/hotels-in-rosemont-il/hyatt-rosemont-near-ohare-509bff2766edc84661028e9a-reviews,hipmunk.com/independent-hotels-in-chicago-il_chicago-getaway-hostel-509bfdc566edc846610190e5-reviews
boutique hotels in the US New York,"These are your Boutique Hotels assignments. In the fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Once it is Editor Approved you can publish and submit your link through this form: https://docs.google.com/a/steelcast.com/forms/d/1yy3ZCO3PxUTv_ZeiNVEw0AGdAX7w4lgyps9F8rtD2Eg/viewform Thanks everyone!",hipmunk.com/hotels-in-jamaica-ny/sheraton-jfk-airport-hotel-510b139ca0a99444dd00000c-reviews,hipmunk.com/independent-hotels-in-milton-ny_buttermilk-falls-inn-509c000e66edc84661033f82-reviews,hipmunk.com/hotels-in-new-york-city-ny/w-new-york-times-square-509c011766edc846610422ad-reviews,hipmunk.com/hotels-in-new-york-city-ny/the-lexington-new-york-city-autograph-collection-509bfdbd66edc84661018b57-reviews,hipmunk.com/Independent-Hotels-in-Glen-Cove-NY_Glen-Cove-Mansion-Hotel-509bff3666edc8466102999b-Reviews
boutique hotels in the US Washington,"These are your Boutique Hotels assignments. In the fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Once it is Editor Approved you can publish and submit your link through this form: https://docs.google.com/a/steelcast.com/forms/d/1yy3ZCO3PxUTv_ZeiNVEw0AGdAX7w4lgyps9F8rtD2Eg/viewform Thanks everyone!",hipmunk.com/hotels-in-spokane-wa/doubletree-by-hilton-spokane-city-center-509bfede66edc84661025606-reviews,hipmunk.com/independent-hotels-in-stevenson-wa_skamania-lodge-destination-hotels-resorts-509bfdfd66edc8466101b55a-reviews,hipmunk.com/hotels-in-sea-tac-wa/doubletree-by-hilton-seattle-airport-509bfdd366edc84661019747-reviews,hipmunk.com/hotels-in-sea-tac-wa/seattle-airport-marriott-509bfdcc66edc84661019337-reviews,hipmunk.com/independent-hotels-in-seattle-wa_mayflower-park-hotel-509bff4b66edc8466102a3f1-reviews
boutique hotels in the US Arizona,"These are your Boutique Hotels assignments. In the fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Once it is Editor Approved you can publish and submit your link through this form: https://docs.google.com/a/steelcast.com/forms/d/1yy3ZCO3PxUTv_ZeiNVEw0AGdAX7w4lgyps9F8rtD2Eg/viewform Thanks everyone!",hipmunk.com/hotels-in-grand-canyon-az/best-western-premier-grand-canyon-squire-inn-509c00f866edc846610408e9-reviews,hipmunk.com/independent-hotels-in-paradise-valley-az_omni-scottsdale-resort-spa-at-montelucia-509bfdc466edc84661019095-reviews,hipmunk.com/hotels-in-scottsdale-az/scottsdale-marriott-at-mcdowell-mountains-5255325b7f2c6c15c3000143-reviews,hipmunk.com/independent-hotels-in-scottsdale-az_hotel-indigo-scottsdale-509bfdc166edc84661018e1a-reviews,hipmunk.com/Independent-Hotels-in-Grand-Canyon-AZ_The-Grand-Hotel-at-the-Grand-Canyon-50ed3003bb290e2daf00003c-Reviews
boutique hotels in the US Massachusetts,"These are your Boutique Hotels assignments. In the fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Once it is Editor Approved you can publish and submit your link through this form: https://docs.google.com/a/steelcast.com/forms/d/1yy3ZCO3PxUTv_ZeiNVEw0AGdAX7w4lgyps9F8rtD2Eg/viewform Thanks everyone!",hipmunk.com/hotels-in-boston-ma/hampton-inn-suites-boston-crosstown-center-509bfc4566edc846610060b3-reviews,hipmunk.com/independent-hotels-in-boston-ma_hotel-commonwealth-509bff2766edc84661028efd-reviews,hipmunk.com/independent-hotels-in-boston-ma_millennium-bostonian-hotel-boston-509bfdbf66edc84661018c8b-reviews,hipmunk.com/hotels-in-cambridge-ma/boston-marriott-cambridge-509bfdc366edc84661018f64-reviews,hipmunk.com/hotels-in-cambridge-ma/courtyard-by-marriott-boston-cambridge-509bfee466edc84661025b33-reviews
boutique hotels in the US Pennsylvania,"These are your Boutique Hotels assignments. In the fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Once it is Editor Approved you can publish and submit your link through this form: https://docs.google.com/a/steelcast.com/forms/d/1yy3ZCO3PxUTv_ZeiNVEw0AGdAX7w4lgyps9F8rtD2Eg/viewform Thanks everyone!",hipmunk.com/independent-hotels-in-bensalem-pa_inn-of-the-dove-509bfed966edc8466102522c-reviews,hipmunk.com/hotels-in-pittsburgh-pa/fairmont-pittsburgh-509bfebc66edc84661023d41-reviews,hipmunk.com/hotels-in-king-of-prussia-pa/doubletree-by-hilton-hotel-philadelphia-valley-forge-509c01b966edc8466104a1d1-reviews,hipmunk.com/independent-hotels-in-mount-pocono-pa_mount-airy-casino-and-resort-525582c77f2c6c16e100014f-reviews,hipmunk.com/hotels-in-philadelphia-pa/four-points-by-sheraton-philadelphia-airport-509bfdc066edc84661018d6a-reviews
boutique hotels in the US Pennsylvania,"These are your Boutique Hotels assignments. In the fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Once it is Editor Approved you can publish and submit your link through this form: https://docs.google.com/a/steelcast.com/forms/d/1yy3ZCO3PxUTv_ZeiNVEw0AGdAX7w4lgyps9F8rtD2Eg/viewform Thanks everyone!",hipmunk.com/independent-hotels-in-bensalem-pa_inn-of-the-dove-509bfed966edc8466102522c-reviews,hipmunk.com/hotels-in-pittsburgh-pa/fairmont-pittsburgh-509bfebc66edc84661023d41-reviews,hipmunk.com/hotels-in-king-of-prussia-pa/doubletree-by-hilton-hotel-philadelphia-valley-forge-509c01b966edc8466104a1d1-reviews,hipmunk.com/independent-hotels-in-mount-pocono-pa_mount-airy-casino-and-resort-525582c77f2c6c16e100014f-reviews,hipmunk.com/hotels-in-philadelphia-pa/four-points-by-sheraton-philadelphia-airport-509bfdc066edc84661018d6a-reviews
boutique hotels in the US Pennsylvania,"These are your Boutique Hotels assignments. In the fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Once it is Editor Approved you can publish and submit your link through this form: https://docs.google.com/a/steelcast.com/forms/d/1yy3ZCO3PxUTv_ZeiNVEw0AGdAX7w4lgyps9F8rtD2Eg/viewform Thanks everyone!",hipmunk.com/independent-hotels-in-bensalem-pa_inn-of-the-dove-509bfed966edc8466102522c-reviews,hipmunk.com/hotels-in-pittsburgh-pa/fairmont-pittsburgh-509bfebc66edc84661023d41-reviews,hipmunk.com/hotels-in-king-of-prussia-pa/doubletree-by-hilton-hotel-philadelphia-valley-forge-509c01b966edc8466104a1d1-reviews,hipmunk.com/independent-hotels-in-mount-pocono-pa_mount-airy-casino-and-resort-525582c77f2c6c16e100014f-reviews,hipmunk.com/hotels-in-philadelphia-pa/four-points-by-sheraton-philadelphia-airport-509bfdc066edc84661018d6a-reviews
boutique hotels in the US Pennsylvania,"These are your Boutique Hotels assignments. In the fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Once it is Editor Approved you can publish and submit your link through this form: https://docs.google.com/a/steelcast.com/forms/d/1yy3ZCO3PxUTv_ZeiNVEw0AGdAX7w4lgyps9F8rtD2Eg/viewform Thanks everyone!",hipmunk.com/hotels-in-king-of-prussia-pa/doubletree-by-hilton-hotel-philadelphia-valley-forge-509c01b966edc8466104a1d1-reviews,hipmunk.com/hotels-in-philadelphia-pa/four-points-by-sheraton-philadelphia-airport-509bfdc066edc84661018d6a-reviews,hipmunk.com/hotels-in-philadelphia-pa/microtel-inn-suites-by-wyndham-philadelphia-airport-509bfe3066edc8466101dca3-reviews,hipmunk.com/hotels-in-philadelphia-pa/sheraton-suites-philadelphia-airport-509c00fe66edc84661040e7e-reviews,hipmunk.com/hotels-in-philadelphia-pa/doubletree-by-hilton-philadelphia-center-city-509bff4a66edc8466102a38e-reviews
boutique hotels in the US Florida,"These are your Boutique Hotels assignments. In the fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Once it is Editor Approved you can publish and submit your link through this form: https://docs.google.com/a/steelcast.com/forms/d/1yy3ZCO3PxUTv_ZeiNVEw0AGdAX7w4lgyps9F8rtD2Eg/viewform Thanks everyone!",hipmunk.com/hotels-in-boca-raton-fl/embassy-suites-boca-raton-509bfdc266edc84661018ec0-reviews,hipmunk.com/hotels-in-key-west-fl/best-western-key-ambassador-resort-inn-509bfdc066edc84661018d58-reviews,hipmunk.com/hotels-in-fort-lauderdale-fl/embassy-suites-ft-lauderdale17th-street-509bfdcd66edc84661019393-reviews,hipmunk.com/hotels-in-fort-lauderdale-fl/hyatt-regency-pier-66-509bfdc666edc846610191e7-reviews,hipmunk.com/hotels-in-gainesville-fl/hilton-university-of-florida-conference-center-gainesville-509bfe3066edc8466101dca6-reviews
boutique hotels in the US Texas,"These are your Boutique Hotels assignments. In the fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Once it is Editor Approved you can publish and submit your link through this form: https://docs.google.com/a/steelcast.com/forms/d/1yy3ZCO3PxUTv_ZeiNVEw0AGdAX7w4lgyps9F8rtD2Eg/viewform Thanks everyone!",hipmunk.com/hotels-in-austin-tx/hilton-austin-airport-509bfea466edc84661022d94-reviews,hipmunk.com/independent-hotels-in-austin-tx_habitat-suites-509bfd3a66edc846610122ea-reviews,hipmunk.com/hotels-in-dallas-tx/sheraton-dallas-hotel-by-the-galleria-509bfdd366edc8466101977f-reviews,hipmunk.com/hotels-in-dallas-tx/sheraton-suites-market-center-509bfe4066edc8466101e853-reviews,hipmunk.com/independent-hotels-in-houston-tx_hotel-derek-houston-galleria-509bfdd166edc84661019649-reviews
boutique hotels in the US Florida,"These are your Boutique Hotels assignments. In the fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Once it is Editor Approved you can publish and submit your link through this form: https://docs.google.com/a/steelcast.com/forms/d/1yy3ZCO3PxUTv_ZeiNVEw0AGdAX7w4lgyps9F8rtD2Eg/viewform Thanks everyone!",hipmunk.com/hotels-in-fort-lauderdale-fl/embassy-suites-ft-lauderdale17th-street-509bfdcd66edc84661019393-reviews,hipmunk.com/hotels-in-fort-lauderdale-fl/hyatt-regency-pier-66-509bfdc666edc846610191e7-reviews,hipmunk.com/hotels-in-gainesville-fl/hilton-university-of-florida-conference-center-gainesville-509bfe3066edc8466101dca6-reviews,hipmunk.com/hotels-in-key-west-fl/best-western-key-ambassador-resort-inn-509bfdc066edc84661018d58-reviews,hipmunk.com/hotels-in-miami-fl/the-ritz-carlton-coconut-grove-miami-509bfefb66edc84661026b74-reviews
boutique hotels in the US Missouri,"These are your Boutique Hotels assignments. In the fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Once it is Editor Approved you can publish and submit your link through this form: https://docs.google.com/a/steelcast.com/forms/d/1yy3ZCO3PxUTv_ZeiNVEw0AGdAX7w4lgyps9F8rtD2Eg/viewform Thanks everyone!",hipmunk.com/hotels-in-kansas-city-mo/holiday-inn-country-club-plaza-509bfdd266edc8466101971b-reviews,hipmunk.com/hotels-in-saint-louis-mo/four-seasons-hotel-st-louis-509bfe5666edc8466101f7a7-reviews,hipmunk.com/hotels-in-saint-louis-mo/marriott-st-louis-grand-hotel-509bff0766edc84661027674-reviews,hipmunk.com/independent-hotels-in-saint-louis-mo_the-parkway-hotel-509bfd4e66edc8466101338e-reviews,hipmunk.com/Independent-Hotels-in-Branson-MO_Capital-Resorts-The-Lodges-at-Table-Rock-Lake-509c01b266edc84661049b7d-Reviews
boutique hotels in the US Massachusetts,"These are your Boutique Hotels assignments. In the fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Once it is Editor Approved you can publish and submit your link through this form: https://docs.google.com/a/steelcast.com/forms/d/1yy3ZCO3PxUTv_ZeiNVEw0AGdAX7w4lgyps9F8rtD2Eg/viewform Thanks everyone!",hipmunk.com/hotels-in-boston-ma/hampton-inn-suites-boston-crosstown-center-509bfc4566edc846610060b3-reviews,hipmunk.com/independent-hotels-in-boston-ma_hotel-commonwealth-509bff2766edc84661028efd-reviews,hipmunk.com/independent-hotels-in-boston-ma_millennium-bostonian-hotel-boston-509bfdbf66edc84661018c8b-reviews,hipmunk.com/independent-hotels-in-boston-ma_the-inn-at-longwood-medical-509bfe1f66edc8466101ce03-reviews,hipmunk.com/hotels-in-cambridge-ma/boston-marriott-cambridge-509bfdc366edc84661018f64-reviews
boutique hotels in the US Louisiana,"These are your Boutique Hotels assignments. In the fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Once it is Editor Approved you can publish and submit your link through this form: https://docs.google.com/a/steelcast.com/forms/d/1yy3ZCO3PxUTv_ZeiNVEw0AGdAX7w4lgyps9F8rtD2Eg/viewform Thanks everyone!",hipmunk.com/hotels-in-metairie-la/sheraton-metairie-new-orleans-hotel-509bfe8966edc84661021ac0-reviews,hipmunk.com/hotels-in-new-orleans-la/hilton-garden-inn-new-orleans-convention-center-509bfdc366edc84661018fef-reviews,hipmunk.com/independent-hotels-in-new-orleans-la_prince-conti-hotel-509bfdc466edc84661019074-reviews,hipmunk.com/independent-hotels-in-kenner-la_hilton-garden-inn-new-orleans-airport-5122267ea0a9946391000016-reviews,hipmunk.com/independent-hotels-in-new-orleans-la_bourbon-orleans-hotel-509bfdc566edc84661019117-reviews
boutique hotels in the US Hawaii,"These are your Boutique Hotels assignments. In the fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Once it is Editor Approved you can publish and submit your link through this form: https://docs.google.com/a/steelcast.com/forms/d/1yy3ZCO3PxUTv_ZeiNVEw0AGdAX7w4lgyps9F8rtD2Eg/viewform Thanks everyone!",hipmunk.com/independent-hotels-in-honolulu-hi_aqua-aloha-surf-waikiki-509bfd4c66edc84661013149-reviews,hipmunk.com/independent-hotels-in-honolulu-hi_aqua-waikiki-wave-509bfe8c66edc84661021d31-reviews,hipmunk.com/independent-hotels-in-honolulu-hi_hawaii-prince-hotel-waikiki-509c00dd66edc8466103f885-reviews,hipmunk.com/independent-hotels-in-honolulu-hi_maile-sky-court-509c024566edc8466105145e-reviews,hipmunk.com/independent-hotels-in-kahului-hi_maui-beach-hotel-509bfe6266edc84661020110-reviews
boutique hotels in the US Missouri,"These are your Boutique Hotels assignments. In the fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Once it is Editor Approved you can publish and submit your link through this form: https://docs.google.com/a/steelcast.com/forms/d/1yy3ZCO3PxUTv_ZeiNVEw0AGdAX7w4lgyps9F8rtD2Eg/viewform Thanks everyone!",hipmunk.com/hotels-in-kansas-city-mo/holiday-inn-country-club-plaza-509bfdd266edc8466101971b-reviews,hipmunk.com/hotels-in-saint-louis-mo/four-seasons-hotel-st-louis-509bfe5666edc8466101f7a7-reviews,hipmunk.com/hotels-in-saint-louis-mo/marriott-st-louis-grand-hotel-509bff0766edc84661027674-reviews,hipmunk.com/independent-hotels-in-saint-louis-mo_the-parkway-hotel-509bfd4e66edc8466101338e-reviews,hipmunk.com/Independent-Hotels-in-Branson-MO_1st-Inn-Branson-509bfc4c66edc84661006679-Reviews
boutique hotels in the US Pennsylvania,"These are your Boutique Hotels assignments. In the fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Once it is Editor Approved you can publish and submit your link through this form: https://docs.google.com/a/steelcast.com/forms/d/1yy3ZCO3PxUTv_ZeiNVEw0AGdAX7w4lgyps9F8rtD2Eg/viewform Thanks everyone!",hipmunk.com/hotels-in-king-of-prussia-pa/doubletree-by-hilton-hotel-philadelphia-valley-forge-509c01b966edc8466104a1d1-reviews,hipmunk.com/hotels-in-philadelphia-pa/microtel-inn-suites-by-wyndham-philadelphia-airport-509bfe3066edc8466101dca3-reviews,hipmunk.com/hotels-in-philadelphia-pa/sheraton-suites-philadelphia-airport-509c00fe66edc84661040e7e-reviews,hipmunk.com/hotels-in-philadelphia-pa/doubletree-by-hilton-philadelphia-center-city-509bff4a66edc8466102a38e-reviews,hipmunk.com/independent-hotels-in-state-college-pa_the-nittany-lion-inn-509bfd9466edc84661016a71-reviews
