Site_ID,Date,EPID,CPID,eBay URL,Google search URL,Category Name,Catalog ID,Catalog Name,Product Title
0,4/24/2012,114209170,5000002932543,http://catalog.ebay.com/114209170,Google Search the Product Title,Cameras & Photo,571,Camera Lenses_new,Helios 44-2 58 mm F/2.0 Lens For Zenit/Pentax
0,4/24/2012,113689902,5000002582799,http://catalog.ebay.com/113689902,Google Search the Product Title,Cameras & Photo,572,Camera Lenses_new,Olympus Zuiko 50 mm F/1.4  Lens
0,4/24/2012,101735663,1417949723,http://catalog.ebay.com/101735663,Google Search the Product Title,Cameras & Photo,573,Camera Lenses_new,Canon Snap-On .5x Wide Angle  Lens
0,4/24/2012,112245774,5000001934738,http://catalog.ebay.com/112245774,Google Search the Product Title,Cameras & Photo,575,Camera Lenses_new,Zeikos 2.5X 37 mm  Lens
0,4/24/2012,112318247,5000001934865,http://catalog.ebay.com/112318247,Google Search the Product Title,Cameras & Photo,576,Camera Lenses_new,Holga 0.5X f/0.5  Lens
0,4/24/2012,99733730,1415814285,http://catalog.ebay.com/99733730,Google Search the Product Title,Cameras & Photo,577,Camera Lenses_new,Nikon Micro-Nikkor D VR II 105 mm F/2.8  Lens
0,4/24/2012,113450816,5000002574464,http://catalog.ebay.com/113450816,Google Search the Product Title,Cameras & Photo,579,Camera Lenses_new,Tamron LD A17 70 mm - 300 mm F/4.0-5.6 Di AF Lens For Canon
0,4/24/2012,101762577,1417950834,http://catalog.ebay.com/101762577,Google Search the Product Title,Cameras & Photo,581,Camera Lenses_new,Fujinon 50 mm F/1.9 Lens For Fujifilm
0,4/24/2012,112333193,5000001934491,http://catalog.ebay.com/112333193,Google Search the Product Title,Cameras & Photo,582,Camera Lenses_new,Kelda 2.2x 72 mm  Lens
0,4/24/2012,99653304,1415655565,http://catalog.ebay.com/99653304,Google Search the Product Title,Cameras & Photo,583,Camera Lenses_new,Pentax SMC P DA 10 mm - 17 mm F/3.5-4.5  Lens
0,4/24/2012,101659664,1417949854,http://catalog.ebay.com/101659664,Google Search the Product Title,Cameras & Photo,585,Camera Lenses_new,Fujifilm 50 mm F/1.9  Lens
